,Name,Course Name,Position,Strokes Under,Total Strokes,First Round,Second Round,Third Round,Fourth Round,Fourth Round Tee Time,Amateur Status,Tournament Status,ID
87,Joseph Dean,Royal Troon,T25,+5,289,69,77,71,72,11:35am,False,complete,37094
88,Patrick Cantlay,Royal Troon,T25,+5,289,73,68,75,73,11:50am,False,complete,35450
89,Laurie Canter,Royal Troon,T25,+5,289,71,74,70,74,12:50pm,False,complete,34362
90,Guido Migliozzi,Royal Troon,T31,+6,290,73,75,71,71,10:00am,False,complete,39834
91,Eric Cole,Royal Troon,T31,+6,290,72,73,72,73,11:15am,False,complete,47591
92,Cameron Young,Royal Troon,T31,+6,290,73,73,71,73,11:25am,False,complete,57366
93,Minkyu Kim,Royal Troon,T31,+6,290,73,71,72,74,12:00pm,False,complete,50323
94,Brendon Todd,Royal Troon,T31,+6,290,73,73,70,74,12:10pm,False,complete,30927
95,Matteo Manassero,Royal Troon,T31,+6,290,73,73,70,74,12:20pm,False,complete,33199
96,Dustin Johnson,Royal Troon,T31,+6,290,74,69,72,75,12:30pm,False,complete,30925
97,Chris Kirk,Royal Troon,T31,+6,290,70,76,69,75,12:50pm,False,complete,30926
98,Justin Thomas,Royal Troon,T31,+6,290,68,78,67,77,1:35pm,False,complete,33448
99,Sam Burns,Royal Troon,T31,+6,290,76,69,65,80,2:15pm,False,complete,47504
100,Kurt Kitayama,Royal Troon,T41,+7,291,77,69,74,71,9:20am,False,complete,48117
101,Matt Wallace,Royal Troon,T41,+7,291,70,77,71,73,10:55am,False,complete,48887
102,Brooks Koepka,Royal Troon,T43,+8,292,70,73,78,71,8:35am,False,complete,36689
103,Thorbjørn Olesen,Royal Troon,T43,+8,292,72,73,76,71,9:00am,False,complete,33968
104,Jorge Campillo,Royal Troon,T43,+8,292,80,68,73,71,9:00am,False,complete,32367
105,Si Woo Kim,Royal Troon,T43,+8,292,76,71,71,74,10:45am,False,complete,37455
106,Max Homa,Royal Troon,T43,+8,292,76,72,70,74,11:05am,False,complete,39977
107,Emiliano Grillo,Royal Troon,T43,+8,292,71,74,72,75,11:25am,False,complete,31646
108,Calum Scott,Royal Troon,T43,+8,292,71,75,70,76,12:20pm,True,complete,63568
109,Matthieu Pavon,Royal Troon,T50,+9,293,72,72,77,72,8:45am,False,complete,48153
110,Matt Fitzpatrick,Royal Troon,T50,+9,293,70,78,73,72,9:10am,False,complete,40098
111,Richard Mansell,Royal Troon,T50,+9,293,75,71,74,73,9:10am,False,complete,54190
112,Robert MacIntyre,Royal Troon,T50,+9,293,72,75,72,74,9:50am,False,complete,52215
113,Harris English,Royal Troon,T50,+9,293,76,71,72,74,10:00am,False,complete,34099
114,Adrian Meronk,Royal Troon,T50,+9,293,73,72,73,75,10:25am,False,complete,33674
115,Gary Woodland,Royal Troon,T50,+9,293,76,68,72,77,12:00pm,False,complete,31323
116,Sean Crocker,Royal Troon,T50,+9,293,72,74,69,78,1:00pm,False,complete,39524
117,Joaquin Niemann,Royal Troon,T58,+10,294,71,71,76,76,10:10am,False,complete,45486
118,Abraham Ancer,Royal Troon,T58,+10,294,73,75,70,76,10:55am,False,complete,45526
119,Tommy Morrison,Royal Troon,T60,+11,295,75,73,74,73,8:25am,True,complete,64624
120,Jeunghun Wang,Royal Troon,T60,+11,295,72,72,77,74,8:45am,False,complete,39958
121,Rasmus Højgaard,Royal Troon,T60,+11,295,74,72,74,75,9:20am,False,complete,52686
122,Jacob Skov Olesen,Royal Troon,T60,+11,295,76,71,72,76,9:40am,True,complete,55965
123,Phil Mickelson,Royal Troon,T60,+11,295,73,74,72,76,9:50am,False,complete,01810
124,Brian Harman,Royal Troon,T60,+11,295,73,73,72,77,10:35am,False,complete,27644
125,Tom McKibbin,Royal Troon,T66,+12,296,73,72,77,74,7:55am,False,complete,50823
126,Hideki Matsuyama,Royal Troon,T66,+12,296,75,72,75,74,8:05am,False,complete,32839
127,Nicolai Højgaard,Royal Troon,T66,+12,296,69,75,75,77,9:30am,False,complete,52453
128,Austin Eckroat,Royal Troon,T66,+12,296,73,73,72,78,10:35am,False,complete,57362
129,Davis Thompson,Royal Troon,T66,+12,296,74,73,71,78,10:45am,False,complete,58168
130,Rickie Fowler,Royal Troon,71,+13,297,79,69,74,75,8:15am,False,complete,32102
131,Young-han Song,Royal Troon,T72,+14,298,71,76,77,74,7:45am,False,complete,36521
132,Marcel Siem,Royal Troon,T72,+14,298,73,71,77,77,8:35am,False,complete,23481
133,Tom Hoge,Royal Troon,T72,+14,298,74,70,74,80,10:25am,False,complete,35532
134,Darren Clarke,Royal Troon,T75,+15,299,77,71,76,75,7:55am,False,complete,19825
135,Aaron Rai,Royal Troon,T75,+15,299,73,74,75,77,8:15am,False,complete,46414
136,Alex Cejka,Royal Troon,T75,+15,299,73,74,72,80,9:40am,False,complete,20472
137,Luis Masaveu,Royal Troon,78,+18,302,73,75,78,76,7:45am,True,complete,64033
138,Andy Ogletree,Royal Troon,79,+19,303,75,72,79,77,7:35am,False,complete,57944
139,Darren Fichardt,Royal Troon,80,+22,306,77,71,80,78,7:35am,False,complete,20721
140,Yuto Katsuragawa,Royal Troon,CUT,+7,149,76,73,,,,False,cut,48632
141,Victor Perez,Royal Troon,CUT,+7,149,74,75,,,,False,cut,47679
142,Akshay Bhatia,Royal Troon,CUT,+7,149,76,73,,,,False,cut,56630
143,Sami Valimaki,Royal Troon,CUT,+7,149,73,76,,,,False,cut,52666
144,Kazuma Kobori,Royal Troon,CUT,+7,149,73,76,,,,False,cut,54621
145,Jack McDonald,Royal Troon,CUT,+7,149,76,73,,,,False,cut,36872
146,Vincent Norrman,Royal Troon,CUT,+7,149,78,71,,,,False,cut,51070
147,Christiaan Bezuidenhout,Royal Troon,CUT,+7,149,75,74,,,,False,cut,45522
148,Keegan Bradley,Royal Troon,CUT,+7,149,74,75,,,,False,cut,33141
149,Will Zalatoris,Royal Troon,CUT,+7,149,76,73,,,,False,cut,47483
150,Nacho Elvira,Royal Troon,CUT,+7,149,76,73,,,,False,cut,39201
151,Henrik Stenson,Royal Troon,CUT,+8,150,77,73,,,,False,cut,21528
152,Louis Oosthuizen,Royal Troon,CUT,+8,150,78,72,,,,False,cut,26329
153,J.T. Poston,Royal Troon,CUT,+8,150,78,72,,,,False,cut,49771
154,Charlie Lindh,Royal Troon,CUT,+8,150,75,75,,,,False,cut,48585
155,Sam Horsfield,Royal Troon,CUT,+8,150,75,75,,,,False,cut,47989
156,Nick Taylor,Royal Troon,CUT,+8,150,75,75,,,,False,cut,25493
157,Tyrrell Hatton,Royal Troon,CUT,+8,150,73,77,,,,False,cut,34363
158,Masahiro Kawamura,Royal Troon,CUT,+8,150,72,78,,,,False,cut,32815
159,C.T. Pan,Royal Troon,CUT,+9,151,79,72,,,,False,cut,29908
160,Jordan Smith,Royal Troon,CUT,+9,151,76,75,,,,False,cut,46464
161,Denny McCarthy,Royal Troon,CUT,+9,151,73,78,,,,False,cut,47993
162,Joost Luiten,Royal Troon,CUT,+9,151,75,76,,,,False,cut,28300
163,Min Woo Lee,Royal Troon,CUT,+9,151,71,80,,,,False,cut,37378
164,Ryo Hisatsune,Royal Troon,CUT,+9,151,76,75,,,,False,cut,51287
165,Francesco Molinari,Royal Troon,CUT,+9,151,73,78,,,,False,cut,25198
166,Matthew Southgate,Royal Troon,CUT,+9,151,73,78,,,,False,cut,35174
167,Zach Johnson,Royal Troon,CUT,+9,151,76,75,,,,False,cut,24024
168,Adam Schenk,Royal Troon,CUT,+9,151,74,77,,,,False,cut,47347
169,Tommy Fleetwood,Royal Troon,CUT,+9,151,76,75,,,,False,cut,30911
170,Ludvig Åberg,Royal Troon,CUT,+9,151,75,76,,,,False,cut,52955
171,Bryson DeChambeau,Royal Troon,CUT,+9,151,76,75,,,,False,cut,47959
172,Elvis Smylie,Royal Troon,CUT,+9,151,76,75,,,,False,cut,54185
173,Rikuya Hoshino,Royal Troon,CUT,+10,152,79,73,,,,False,cut,47056
174,Taylor Moore,Royal Troon,CUT,+10,152,78,74,,,,False,cut,49947
175,Yannik Paul,Royal Troon,CUT,+10,152,77,75,,,,False,cut,48051
176,Matthew Dodd-Berry,Royal Troon,CUT,+10,152,72,80,,,,True,cut,67092
177,Mike Hendry,Royal Troon,CUT,+10,152,74,78,,,,False,cut,29930
178,Ryosuke Kinoshita,Royal Troon,CUT,+10,152,75,77,,,,False,cut,34500
179,Jasper Stubbs,Royal Troon,CUT,+10,152,80,72,,,,True,cut,56513
180,Adam Hadwin,Royal Troon,CUT,+10,152,75,77,,,,False,cut,33399
181,Tony Finau,Royal Troon,CUT,+10,152,71,81,,,,False,cut,29725
182,Viktor Hovland,Royal Troon,CUT,+10,152,75,77,,,,False,cut,46717
183,Maverick McNealy,Royal Troon,CUT,+10,152,71,81,,,,False,cut,46442
184,Angel Hidalgo Portillo,Royal Troon,CUT,+11,153,77,76,,,,False,cut,64594
185,Altin van der Merwe,Royal Troon,CUT,+11,153,79,74,,,,True,cut,66063
186,Ben Griffin,Royal Troon,CUT,+11,153,79,74,,,,False,cut,54591
187,Jesper Svensson,Royal Troon,CUT,+11,153,72,81,,,,False,cut,57586
188,Stewart Cink,Royal Troon,CUT,+11,153,76,77,,,,False,cut,20229
189,Stephan Jaeger,Royal Troon,CUT,+11,153,74,79,,,,False,cut,36799
190,Tom Kim,Royal Troon,CUT,+11,153,76,77,,,,False,cut,55182
191,Rory McIlroy,Royal Troon,CUT,+11,153,78,75,,,,False,cut,28237
192,Cameron Smith,Royal Troon,CUT,+12,154,80,74,,,,False,cut,35891
193,Alexander Björk,Royal Troon,CUT,+12,154,73,81,,,,False,cut,34310
194,Sam Hutsby,Royal Troon,CUT,+12,154,74,80,,,,False,cut,29327
195,Ryan van Velzen,Royal Troon,CUT,+13,155,79,76,,,,False,cut,59629
