,Name,Course Name,Position,Strokes Under,Total Strokes,First Round,Second Round,Third Round,Fourth Round,Fourth Round Tee Time,Amateur Status,Tournament Status,ID
39,Shubhankar Sharma,Le Golf National,40,-1,283,70,69,72,72,10:22:00,False,complete,39113
40,Adrien Dumont de Chassart,Le Golf National,40,-1,283,70,70,70,73,10:44:00,False,complete,50497
41,David Puig,Le Golf National,40,-1,283,69,69,70,75,10:55:00,False,complete,61193
42,Kristoffer Ventura,Le Golf National,43,E,284,71,68,76,69,09:33:00,False,complete,35658
43,Emiliano Grillo,Le Golf National,43,E,284,66,75,75,68,09:33:00,False,complete,31646
44,Mito Pereira,Le Golf National,45,+1,285,69,76,74,66,09:11:00,False,complete,47529
45,Gaganjeet Bhullar,Le Golf National,45,+1,285,75,69,71,70,09:44:00,False,complete,28697
46,Alex Noren,Le Golf National,45,+1,285,67,74,71,73,10:11:00,False,complete,27349
47,Sami Valimaki,Le Golf National,45,+1,285,67,71,72,75,10:44:00,False,complete,52666
48,Adrian Meronk,Le Golf National,49,+3,287,73,71,72,71,09:33:00,False,complete,33674
49,Keita Nakajima,Le Golf National,49,+3,287,70,70,73,74,09:55:00,False,complete,49228
50,Joel Girrbach,Le Golf National,49,+3,287,69,72,70,76,10:33:00,False,complete,35564
51,Kevin Yu,Le Golf National,52,+4,288,73,69,72,74,09:44:00,False,complete,45242
52,Zecheng Dou,Le Golf National,53,+5,289,69,70,77,73,09:22:00,False,complete,37338
53,Kiradech Aphibarnrat,Le Golf National,54,+6,290,74,73,72,71,09:22:00,False,complete,30978
54,Daniel Hillier,Le Golf National,55,+7,291,75,73,70,73,09:22:00,False,complete,49813
55,Yechun Yuan,Le Golf National,56,+8,292,70,72,78,72,09:11:00,False,complete,55454
56,Camilo Villegas,Le Golf National,57,+9,293,76,74,72,71,09:00:00,False,complete,27770
57,Matthieu Pavon,Le Golf National,58,+13,297,71,75,77,74,09:00:00,False,complete,48153
60,Xander Schauffele,Royal Troon,1,-9,275,69,72,69,65,14:05:00,False,complete,48081
61,Justin Rose,Royal Troon,2,-7,277,69,68,73,67,14:05:00,False,complete,22405
62,Billy Horschel,Royal Troon,2,-7,277,72,68,69,68,14:25:00,False,complete,29420
63,Thriston Lawrence,Royal Troon,4,-6,278,71,74,65,68,14:25:00,False,complete,45523
64,Russell Henley,Royal Troon,5,-5,279,69,75,66,69,14:15:00,False,complete,34098
65,Shane Lowry,Royal Troon,6,-4,280,66,69,77,68,13:45:00,False,complete,33204
66,Jon Rahm,Royal Troon,7,-1,283,73,70,72,68,12:40:00,False,complete,46970
67,Sungjae Im,Royal Troon,7,-1,283,76,72,66,69,13:25:00,False,complete,39971
68,Scottie Scheffler,Royal Troon,7,-1,283,70,70,71,72,13:55:00,False,complete,46046
69,Matthew Jordan,Royal Troon,10,E,284,71,71,71,71,13:35:00,False,complete,55955
70,Adam Scott,Royal Troon,10,E,284,70,77,66,71,13:45:00,False,complete,24502
71,Daniel Brown,Royal Troon,10,E,284,65,72,73,74,13:55:00,False,complete,57259
72,Jason Day,Royal Troon,13,+1,285,73,68,76,68,11:05:00,False,complete,28089
73,Alex Noren,Royal Troon,13,+1,285,69,75,71,70,12:40:00,False,complete,27349
74,Byeong Hun An,Royal Troon,13,+1,285,75,71,68,71,13:25:00,False,complete,33948
75,Mackenzie Hughes,Royal Troon,16,+2,286,69,74,75,68,10:10:00,False,complete,35506
76,Collin Morikawa,Royal Troon,16,+2,286,73,70,72,71,12:30:00,False,complete,50525
77,John Catlin,Royal Troon,16,+2,286,76,70,69,71,13:00:00,False,complete,45734
78,Dean Burmester,Royal Troon,19,+3,287,71,69,76,71,11:50:00,False,complete,33974
79,Daniel Hillier,Royal Troon,19,+3,287,76,71,68,72,13:15:00,False,complete,49813
80,Shubhankar Sharma,Royal Troon,19,+3,287,76,72,67,72,13:15:00,False,complete,39113
81,Sepp Straka,Royal Troon,22,+4,288,70,74,73,71,11:15:00,False,complete,49960
82,Ewen Ferguson,Royal Troon,22,+4,288,74,73,70,71,11:35:00,False,complete,50223
83,Padraig Harrington,Royal Troon,22,+4,288,72,73,71,72,12:10:00,False,complete,20766
84,Ryan Fox,Royal Troon,25,+5,289,73,73,76,67,08:05:00,False,complete,29936
85,Corey Conners,Royal Troon,25,+5,289,71,70,80,68,08:25:00,False,complete,39997
86,Jordan Spieth,Royal Troon,25,+5,289,71,74,74,70,09:30:00,False,complete,34046
87,Joseph Dean,Royal Troon,25,+5,289,69,77,71,72,11:35:00,False,complete,37094
88,Patrick Cantlay,Royal Troon,25,+5,289,73,68,75,73,11:50:00,False,complete,35450
89,Laurie Canter,Royal Troon,25,+5,289,71,74,70,74,12:50:00,False,complete,34362
90,Guido Migliozzi,Royal Troon,31,+6,290,73,75,71,71,10:00:00,False,complete,39834
91,Eric Cole,Royal Troon,31,+6,290,72,73,72,73,11:15:00,False,complete,47591
92,Cameron Young,Royal Troon,31,+6,290,73,73,71,73,11:25:00,False,complete,57366
93,Minkyu Kim,Royal Troon,31,+6,290,73,71,72,74,12:00:00,False,complete,50323
94,Brendon Todd,Royal Troon,31,+6,290,73,73,70,74,12:10:00,False,complete,30927
95,Matteo Manassero,Royal Troon,31,+6,290,73,73,70,74,12:20:00,False,complete,33199
96,Dustin Johnson,Royal Troon,31,+6,290,74,69,72,75,12:30:00,False,complete,30925
97,Chris Kirk,Royal Troon,31,+6,290,70,76,69,75,12:50:00,False,complete,30926
98,Justin Thomas,Royal Troon,31,+6,290,68,78,67,77,13:35:00,False,complete,33448
99,Sam Burns,Royal Troon,31,+6,290,76,69,65,80,14:15:00,False,complete,47504
100,Kurt Kitayama,Royal Troon,41,+7,291,77,69,74,71,09:20:00,False,complete,48117
101,Matt Wallace,Royal Troon,41,+7,291,70,77,71,73,10:55:00,False,complete,48887
102,Brooks Koepka,Royal Troon,43,+8,292,70,73,78,71,08:35:00,False,complete,36689
103,Thorbjørn Olesen,Royal Troon,43,+8,292,72,73,76,71,09:00:00,False,complete,33968
104,Jorge Campillo,Royal Troon,43,+8,292,80,68,73,71,09:00:00,False,complete,32367
105,Si Woo Kim,Royal Troon,43,+8,292,76,71,71,74,10:45:00,False,complete,37455
106,Max Homa,Royal Troon,43,+8,292,76,72,70,74,11:05:00,False,complete,39977
107,Emiliano Grillo,Royal Troon,43,+8,292,71,74,72,75,11:25:00,False,complete,31646
108,Calum Scott,Royal Troon,43,+8,292,71,75,70,76,12:20:00,True,complete,63568
109,Matthieu Pavon,Royal Troon,50,+9,293,72,72,77,72,08:45:00,False,complete,48153
110,Matt Fitzpatrick,Royal Troon,50,+9,293,70,78,73,72,09:10:00,False,complete,40098
111,Richard Mansell,Royal Troon,50,+9,293,75,71,74,73,09:10:00,False,complete,54190
112,Robert MacIntyre,Royal Troon,50,+9,293,72,75,72,74,09:50:00,False,complete,52215
113,Harris English,Royal Troon,50,+9,293,76,71,72,74,10:00:00,False,complete,34099
114,Adrian Meronk,Royal Troon,50,+9,293,73,72,73,75,10:25:00,False,complete,33674
115,Gary Woodland,Royal Troon,50,+9,293,76,68,72,77,12:00:00,False,complete,31323
116,Sean Crocker,Royal Troon,50,+9,293,72,74,69,78,13:00:00,False,complete,39524
117,Joaquin Niemann,Royal Troon,58,+10,294,71,71,76,76,10:10:00,False,complete,45486
118,Abraham Ancer,Royal Troon,58,+10,294,73,75,70,76,10:55:00,False,complete,45526
119,Tommy Morrison,Royal Troon,60,+11,295,75,73,74,73,08:25:00,True,complete,64624
120,Jeunghun Wang,Royal Troon,60,+11,295,72,72,77,74,08:45:00,False,complete,39958
121,Rasmus Højgaard,Royal Troon,60,+11,295,74,72,74,75,09:20:00,False,complete,52686
122,Jacob Skov Olesen,Royal Troon,60,+11,295,76,71,72,76,09:40:00,True,complete,55965
123,Phil Mickelson,Royal Troon,60,+11,295,73,74,72,76,09:50:00,False,complete,01810
124,Brian Harman,Royal Troon,60,+11,295,73,73,72,77,10:35:00,False,complete,27644
125,Tom McKibbin,Royal Troon,66,+12,296,73,72,77,74,07:55:00,False,complete,50823
126,Hideki Matsuyama,Royal Troon,66,+12,296,75,72,75,74,08:05:00,False,complete,32839
127,Nicolai Højgaard,Royal Troon,66,+12,296,69,75,75,77,09:30:00,False,complete,52453
128,Austin Eckroat,Royal Troon,66,+12,296,73,73,72,78,10:35:00,False,complete,57362
129,Davis Thompson,Royal Troon,66,+12,296,74,73,71,78,10:45:00,False,complete,58168
130,Rickie Fowler,Royal Troon,71,+13,297,79,69,74,75,08:15:00,False,complete,32102
131,Young-han Song,Royal Troon,72,+14,298,71,76,77,74,07:45:00,False,complete,36521
132,Marcel Siem,Royal Troon,72,+14,298,73,71,77,77,08:35:00,False,complete,23481
133,Tom Hoge,Royal Troon,72,+14,298,74,70,74,80,10:25:00,False,complete,35532
134,Darren Clarke,Royal Troon,75,+15,299,77,71,76,75,07:55:00,False,complete,19825
135,Aaron Rai,Royal Troon,75,+15,299,73,74,75,77,08:15:00,False,complete,46414
136,Alex Cejka,Royal Troon,75,+15,299,73,74,72,80,09:40:00,False,complete,20472
137,Luis Masaveu,Royal Troon,78,+18,302,73,75,78,76,07:45:00,True,complete,64033
138,Andy Ogletree,Royal Troon,79,+19,303,75,72,79,77,07:35:00,False,complete,57944
139,Darren Fichardt,Royal Troon,80,+22,306,77,71,80,78,07:35:00,False,complete,20721
217,Bryson DeChambeau,Pinehurst Resort & Country Club (Course No. 2),1,-6,274,67,69,67,71,14:21:00,False,complete,47959
218,Rory McIlroy,Pinehurst Resort & Country Club (Course No. 2),2,-5,275,65,72,69,69,14:10:00,False,complete,28237
219,Tony Finau,Pinehurst Resort & Country Club (Course No. 2),3,-4,276,68,69,72,67,13:48:00,False,complete,29725
220,Patrick Cantlay,Pinehurst Resort & Country Club (Course No. 2),3,-4,276,65,71,70,70,14:10:00,False,complete,35450
221,Matthieu Pavon,Pinehurst Resort & Country Club (Course No. 2),5,-3,277,67,70,69,71,14:21:00,False,complete,48153
222,Hideki Matsuyama,Pinehurst Resort & Country Club (Course No. 2),6,-2,278,72,66,70,70,13:59:00,False,complete,32839
223,Russell Henley,Pinehurst Resort & Country Club (Course No. 2),7,-1,279,70,70,72,67,12:48:00,False,complete,34098
224,Xander Schauffele,Pinehurst Resort & Country Club (Course No. 2),7,-1,279,70,69,72,68,12:59:00,False,complete,48081
225,Sam Burns,Pinehurst Resort & Country Club (Course No. 2),9,E,280,73,67,73,67,12:15:00,False,complete,47504
226,Davis Thompson,Pinehurst Resort & Country Club (Course No. 2),9,E,280,70,72,70,68,12:59:00,False,complete,58168
227,Corey Conners,Pinehurst Resort & Country Club (Course No. 2),9,E,280,69,70,71,70,13:37:00,False,complete,39997
228,Sergio Garcia,Pinehurst Resort & Country Club (Course No. 2),12,+1,281,69,71,71,70,13:10:00,False,complete,21209
229,Ludvig Åberg,Pinehurst Resort & Country Club (Course No. 2),12,+1,281,66,69,73,73,13:59:00,False,complete,52955
230,Thomas Detry,Pinehurst Resort & Country Club (Course No. 2),14,+2,282,69,67,76,70,12:37:00,False,complete,33653
231,Collin Morikawa,Pinehurst Resort & Country Club (Course No. 2),14,+2,282,70,74,66,72,13:37:00,False,complete,50525
232,Tommy Fleetwood,Pinehurst Resort & Country Club (Course No. 2),16,+3,283,70,75,70,68,11:15:00,False,complete,30911
233,Akshay Bhatia,Pinehurst Resort & Country Club (Course No. 2),16,+3,283,68,71,73,71,12:48:00,False,complete,56630
234,Taylor Pendrith,Pinehurst Resort & Country Club (Course No. 2),16,+3,283,71,70,70,72,13:10:00,False,complete,40250
235,Shane Lowry,Pinehurst Resort & Country Club (Course No. 2),19,+4,284,74,71,70,69,11:31:00,False,complete,33204
236,Aaron Rai,Pinehurst Resort & Country Club (Course No. 2),19,+4,284,69,74,68,73,13:26:00,False,complete,46414
237,Max Greyserman,Pinehurst Resort & Country Club (Course No. 2),21,+5,285,71,74,72,68,09:58:00,False,complete,51977
238,Daniel Berger,Pinehurst Resort & Country Club (Course No. 2),21,+5,285,73,70,73,69,10:09:00,False,complete,40026
239,Min Woo Lee,Pinehurst Resort & Country Club (Course No. 2),21,+5,285,73,69,72,71,11:53:00,False,complete,37378
240,Stephan Jaeger,Pinehurst Resort & Country Club (Course No. 2),21,+5,285,70,70,73,72,12:15:00,False,complete,36799
241,Brian Harman,Pinehurst Resort & Country Club (Course No. 2),21,+5,285,71,71,71,72,12:26:00,False,complete,27644
242,Brooks Koepka,Pinehurst Resort & Country Club (Course No. 2),26,+6,286,70,75,71,70,10:31:00,False,complete,36689
243,Zac Blair,Pinehurst Resort & Country Club (Course No. 2),26,+6,286,70,69,75,72,11:31:00,False,complete,40058
244,Chris Kirk,Pinehurst Resort & Country Club (Course No. 2),26,+6,286,71,71,72,72,11:42:00,False,complete,30926
245,Neal Shipley,Pinehurst Resort & Country Club (Course No. 2),26,+6,286,70,73,71,72,12:04:00,True,complete,63807
246,Tom Kim,Pinehurst Resort & Country Club (Course No. 2),26,+6,286,71,68,71,76,13:26:00,False,complete,55182
247,Tyrrell Hatton,Pinehurst Resort & Country Club (Course No. 2),26,+6,286,68,71,70,77,13:48:00,False,complete,34363
248,Adam Scott,Pinehurst Resort & Country Club (Course No. 2),32,+7,287,70,72,76,69,09:09:00,False,complete,24502
249,Si Woo Kim,Pinehurst Resort & Country Club (Course No. 2),32,+7,287,71,72,74,70,09:47:00,False,complete,37455
250,Sahith Theegala,Pinehurst Resort & Country Club (Course No. 2),32,+7,287,77,68,72,70,09:58:00,False,complete,51634
251,Keegan Bradley,Pinehurst Resort & Country Club (Course No. 2),32,+7,287,74,70,72,71,10:09:00,False,complete,33141
252,Isaiah Salinda,Pinehurst Resort & Country Club (Course No. 2),32,+7,287,70,72,73,72,10:53:00,False,complete,56781
253,Christiaan Bezuidenhout,Pinehurst Resort & Country Club (Course No. 2),32,+7,287,72,71,72,72,10:53:00,False,complete,45522
254,Cameron Smith,Pinehurst Resort & Country Club (Course No. 2),32,+7,287,71,72,72,72,11:04:00,False,complete,35891
255,J.T. Poston,Pinehurst Resort & Country Club (Course No. 2),32,+7,287,73,71,71,72,11:15:00,False,complete,49771
256,Denny McCarthy,Pinehurst Resort & Country Club (Course No. 2),32,+7,287,75,67,72,73,11:53:00,False,complete,47993
257,Frankie Capan III,Pinehurst Resort & Country Club (Course No. 2),41,+8,288,71,70,76,71,09:25:00,False,complete,49590
258,Harris English,Pinehurst Resort & Country Club (Course No. 2),41,+8,288,70,73,74,71,09:36:00,False,complete,34099
259,Jordan Spieth,Pinehurst Resort & Country Club (Course No. 2),41,+8,288,72,71,74,71,09:47:00,False,complete,34046
260,Scottie Scheffler,Pinehurst Resort & Country Club (Course No. 2),41,+8,288,71,74,71,72,10:20:00,False,complete,46046
261,Tom McKibbin,Pinehurst Resort & Country Club (Course No. 2),41,+8,288,74,71,71,72,10:20:00,False,complete,50823
262,Tim Widing,Pinehurst Resort & Country Club (Course No. 2),41,+8,288,71,68,76,73,10:31:00,False,complete,50474
263,Emiliano Grillo,Pinehurst Resort & Country Club (Course No. 2),41,+8,288,70,72,73,73,10:42:00,False,complete,31646
264,Billy Horschel,Pinehurst Resort & Country Club (Course No. 2),41,+8,288,73,67,74,74,11:42:00,False,complete,29420
265,Luke Clanton,Pinehurst Resort & Country Club (Course No. 2),41,+8,288,76,69,69,74,12:04:00,True,complete,66743
266,Justin Lower,Pinehurst Resort & Country Club (Course No. 2),50,+9,289,72,73,74,70,08:58:00,False,complete,40162
267,Matt Kuchar,Pinehurst Resort & Country Club (Course No. 2),50,+9,289,72,71,75,71,09:25:00,False,complete,23108
268,Nicolai Højgaard,Pinehurst Resort & Country Club (Course No. 2),50,+9,289,72,69,74,74,10:42:00,False,complete,52453
269,Mark Hubbard,Pinehurst Resort & Country Club (Course No. 2),50,+9,289,74,69,70,76,12:26:00,False,complete,36801
270,Nico Echavarria,Pinehurst Resort & Country Club (Course No. 2),54,+10,290,72,69,78,71,08:47:00,False,complete,51349
271,David Puig,Pinehurst Resort & Country Club (Course No. 2),55,+11,291,76,68,69,78,12:37:00,False,complete,61193
272,Seonghyeon Kim,Pinehurst Resort & Country Club (Course No. 2),56,+12,292,69,72,83,68,07:30:00,False,complete,50188
273,Ben Kohles,Pinehurst Resort & Country Club (Course No. 2),56,+12,292,77,68,76,71,08:03:00,False,complete,36884
274,Ryan Fox,Pinehurst Resort & Country Club (Course No. 2),56,+12,292,73,72,76,71,08:14:00,False,complete,29936
275,Sepp Straka,Pinehurst Resort & Country Club (Course No. 2),56,+12,292,70,72,78,72,08:25:00,False,complete,49960
276,Greyson Sigg,Pinehurst Resort & Country Club (Course No. 2),56,+12,292,76,69,75,72,08:36:00,False,complete,51890
277,Brian Campbell,Pinehurst Resort & Country Club (Course No. 2),56,+12,292,73,70,75,74,09:09:00,False,complete,46443
278,Adam Svensson,Pinehurst Resort & Country Club (Course No. 2),56,+12,292,73,70,74,75,09:36:00,False,complete,40115
279,Wyndham Clark,Pinehurst Resort & Country Club (Course No. 2),56,+12,292,73,71,71,77,11:04:00,False,complete,51766
280,Matthew Fitzpatrick,Pinehurst Resort & Country Club (Course No. 2),64,+13,293,73,72,79,69,07:41:00,False,complete,40098
281,Francesco Molinari,Pinehurst Resort & Country Club (Course No. 2),64,+13,293,73,72,77,71,08:03:00,False,complete,25198
282,Martin Kaymer,Pinehurst Resort & Country Club (Course No. 2),64,+13,293,70,73,77,73,08:25:00,False,complete,27408
283,Cameron Young,Pinehurst Resort & Country Club (Course No. 2),67,+14,294,73,72,75,74,08:36:00,False,complete,57366
284,Brendon Todd,Pinehurst Resort & Country Club (Course No. 2),67,+14,294,74,71,74,75,08:47:00,False,complete,30927
285,Dean Burmester,Pinehurst Resort & Country Club (Course No. 2),69,+15,295,74,71,76,74,08:14:00,False,complete,33974
286,Gunnar Broin,Pinehurst Resort & Country Club (Course No. 2),70,+16,296,75,68,81,72,07:30:00,True,complete,65880
287,Brandon Wu,Pinehurst Resort & Country Club (Course No. 2),70,+16,296,74,71,78,73,07:52:00,False,complete,52374
288,Sam Bennett,Pinehurst Resort & Country Club (Course No. 2),72,+17,297,69,72,77,79,08:58:00,False,complete,59652
289,Jackson Suber,Pinehurst Resort & Country Club (Course No. 2),73,+18,298,69,73,81,75,07:41:00,False,complete,60019
290,Austin Eckroat,Pinehurst Resort & Country Club (Course No. 2),74,+20,300,72,72,78,78,07:52:00,False,complete,57362
373,Xander Schauffele,Valhalla Golf Club,1,-21,263,62,68,68,65,14:35:00,False,complete,48081
374,Bryson DeChambeau,Valhalla Golf Club,2,-20,264,68,65,67,64,14:15:00,False,complete,47959
375,Viktor Hovland,Valhalla Golf Club,3,-18,266,68,66,66,66,14:15:00,False,complete,46717
376,Thomas Detry,Valhalla Golf Club,4,-15,269,66,67,70,66,13:15:00,False,complete,33653
377,Collin Morikawa,Valhalla Golf Club,4,-15,269,66,65,67,71,14:35:00,False,complete,50525
378,Justin Rose,Valhalla Golf Club,6,-14,270,70,67,64,69,14:05:00,False,complete,22405
379,Shane Lowry,Valhalla Golf Club,6,-14,270,69,69,62,70,14:25:00,False,complete,33204
380,Billy Horschel,Valhalla Golf Club,8,-13,271,69,69,69,64,11:45:00,False,complete,29420
381,Scottie Scheffler,Valhalla Golf Club,8,-13,271,67,66,73,65,12:15:00,False,complete,46046
382,Justin Thomas,Valhalla Golf Club,8,-13,271,69,67,67,68,13:35:00,False,complete,33448
383,Robert MacIntyre,Valhalla Golf Club,8,-13,271,66,69,66,70,14:05:00,False,complete,52215
384,Alex Noren,Valhalla Golf Club,12,-12,272,67,70,70,65,11:25:00,False,complete,27349
385,Rory McIlroy,Valhalla Golf Club,12,-12,272,66,71,68,67,12:45:00,False,complete,28237
386,Taylor Moore,Valhalla Golf Club,12,-12,272,67,68,69,68,13:05:00,False,complete,49947
387,Dean Burmester,Valhalla Golf Club,12,-12,272,69,65,68,70,13:55:00,False,complete,33974
388,Lee Hodges,Valhalla Golf Club,12,-12,272,71,65,67,69,13:55:00,False,complete,54628
389,Sahith Theegala,Valhalla Golf Club,12,-12,272,65,67,67,73,14:25:00,False,complete,51634
390,Ryo Hisatsune,Valhalla Golf Club,18,-11,273,71,68,67,67,12:35:00,False,complete,51287
391,Keegan Bradley,Valhalla Golf Club,18,-11,273,69,67,68,69,13:05:00,False,complete,33141
392,Harris English,Valhalla Golf Club,18,-11,273,68,67,68,70,13:25:00,False,complete,34099
393,Austin Eckroat,Valhalla Golf Club,18,-11,273,67,67,69,70,13:25:00,False,complete,57362
394,Tony Finau,Valhalla Golf Club,18,-11,273,65,69,69,70,13:35:00,False,complete,29725
395,Maverick McNealy,Valhalla Golf Club,23,-10,274,66,72,69,67,11:45:00,False,complete,46442
396,Tom Hoge,Valhalla Golf Club,23,-10,274,66,73,68,67,12:05:00,False,complete,35532
397,Russell Henley,Valhalla Golf Club,23,-10,274,70,69,66,69,12:55:00,False,complete,34098
398,Tommy Fleetwood,Valhalla Golf Club,26,-9,275,72,69,69,65,09:15:00,False,complete,30911
399,Brooks Koepka,Valhalla Golf Club,26,-9,275,67,68,74,66,10:05:00,False,complete,36689
400,Corey Conners,Valhalla Golf Club,26,-9,275,70,71,67,67,10:35:00,False,complete,39997
401,Brian Harman,Valhalla Golf Club,26,-9,275,72,68,68,67,10:45:00,False,complete,27644
402,Min Woo Lee,Valhalla Golf Club,26,-9,275,72,66,70,67,10:55:00,False,complete,37378
403,Kurt Kitayama,Valhalla Golf Club,26,-9,275,68,70,70,67,11:05:00,False,complete,48117
404,Ben Kohles,Valhalla Golf Club,26,-9,275,67,73,67,68,11:15:00,False,complete,36884
405,Mark Hubbard,Valhalla Golf Club,26,-9,275,65,68,73,69,12:15:00,False,complete,36801
406,Tom Kim,Valhalla Golf Club,26,-9,275,66,71,68,70,12:45:00,False,complete,55182
407,Brice Garnett,Valhalla Golf Club,35,-8,276,72,67,69,68,10:55:00,False,complete,29535
408,Doug Ghim,Valhalla Golf Club,35,-8,276,69,68,70,69,11:25:00,False,complete,52375
409,Max Homa,Valhalla Golf Club,35,-8,276,68,70,69,69,12:05:00,False,complete,39977
410,Hideki Matsuyama,Valhalla Golf Club,35,-8,276,70,65,70,71,12:35:00,False,complete,32839
411,Jordan Smith,Valhalla Golf Club,39,-7,277,70,71,72,64,08:05:00,False,complete,46464
412,Joaquin Niemann,Valhalla Golf Club,39,-7,277,73,68,69,67,09:25:00,False,complete,45486
413,Alexander Björk,Valhalla Golf Club,39,-7,277,71,67,71,68,10:25:00,False,complete,34310
414,Aaron Rai,Valhalla Golf Club,39,-7,277,68,68,70,71,12:25:00,False,complete,46414
415,Dustin Johnson,Valhalla Golf Club,43,-6,278,73,68,71,66,08:15:00,False,complete,30925
416,Grayson Murray,Valhalla Golf Club,43,-6,278,72,68,71,67,08:55:00,False,complete,34213
417,Byeong Hun An,Valhalla Golf Club,43,-6,278,71,67,72,68,09:45:00,False,complete,33948
418,Adam Svensson,Valhalla Golf Club,43,-6,278,70,69,70,69,10:15:00,False,complete,40115
419,Lucas Glover,Valhalla Golf Club,43,-6,278,71,68,70,69,10:25:00,False,complete,25900
420,Will Zalatoris,Valhalla Golf Club,43,-6,278,71,68,69,70,11:05:00,False,complete,47483
421,Jason Day,Valhalla Golf Club,43,-6,278,71,67,69,71,11:35:00,False,complete,28089
422,Matt Wallace,Valhalla Golf Club,43,-6,278,70,65,71,72,12:25:00,False,complete,48887
423,Jordan Spieth,Valhalla Golf Club,43,-6,278,69,69,67,73,12:55:00,False,complete,34046
424,Lucas Herbert,Valhalla Golf Club,43,-6,278,69,67,68,74,13:15:00,False,complete,39058
425,Andrew Putnam,Valhalla Golf Club,53,-5,279,68,72,72,67,08:25:00,False,complete,34256
426,Erik van Rooyen,Valhalla Golf Club,53,-5,279,72,68,71,68,08:45:00,False,complete,40006
427,Patrick Cantlay,Valhalla Golf Club,53,-5,279,70,68,73,68,09:05:00,False,complete,35450
